"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"79",0.10278,0.07368,8.99999999999999,0.10278,0.818181818181818,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,2.376334488156,2.32029446006777,2.02007243794049,2.28329861383573
"80",0.07368,0.01,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,3,0.01,2.38972950711491,2.37998744187185,2.0700169736835,2.16026607732973
"81",0.07368,0.01946,0.818181818181818,0.01946,0.818181818181818,0.01,1.5,0.01,0.818181818181818,0.01,0.398993876535346,0.374040323684512,0.366256972204613,0.360708827575529
"82",0.10278,0.01395,8.99999999999999,0.01395,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.40838082706592,2.36984296673758,2.05609709377219,2.1656791124243
"83",0.07368,0.01946,8.99999999999999,0.02714,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.56277705106646,2.39281836911879,2.03923638482547,2.00516819498927
"84",0.07368,0.07368,0,0.02714,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.350839042068073,0.373180637394244,0.388074529548154,0.387905790989529
"85",0.07368,0.01,1.5,0.01,1.5,0.01,8.99999999999999,0.01,1.5,0.01,2.30782567041813,2.40892523807001,2.18754808768872,2.09570100382313
"86",0.05282,0.03786,0.176470588235294,0.02714,0.428571428571429,0.01,1.5,0.01,8.99999999999999,0.01395,0.200431041699307,0.215431774776457,0.207951521982908,0.194367479723146
"87",0.07368,0.01395,1.5,0.03786,0.428571428571429,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.38253066468484,2.26856327688197,2.27812195888609,2.07078409954709
"88",0.07368,0.01,1.5,0.01,1.5,0.01,8.99999999999999,0.01395,8.99999999999999,0.01,2.26560897205761,2.2992355952124,2.24725156507489,2.18790386765509
"89",0.07368,0.01,0.818181818181818,0.01,1.5,0.01,1.5,0.01,3,0.01,0.393676371031099,0.397883447939584,0.341667922551651,0.366772258477665
"90",0.07368,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.35727341858034,2.41262791772158,2.15042648422862,2.07967217946945
"91",0.10278,0.05282,1.5,0.01,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.27611763751109,2.36655462043217,2.20748432990001,2.14984341215673
"92",0.07368,0.01,1.5,0.01946,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.34606121575873,2.3773781367999,2.10391544960611,2.17264519783526
"93",0.07368,0.01,1.5,0.01,1.5,0.01,8.99999999999999,0.01946,8.99999999999999,0.01,2.33358121977398,2.26361879073081,2.15002745136896,2.25277253812624
"94",0.07368,0.01,8.99999999999999,0.01946,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.44389517029215,2.30444098275528,2.14343858903911,2.10822525791345
"95",0.05282,0.01,1.5,0.02714,0.428571428571429,0.01,1.5,0.01,8.99999999999999,0.01395,0.794928128689741,0.745893700262565,0.723915003720965,0.735263167326729
"96",0.05282,0.03786,0.428571428571429,0.01,1.5,0.01,8.99999999999999,0.01,3,0.01,0.748448878553193,0.79072065200711,0.731737025966963,0.729093443472735
"97",0.14337,0.01946,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.33683800787863,2.38801890569405,2.18615230671694,2.08899077971037
"98",0.07368,0.01946,0.818181818181818,0.01946,0.818181818181818,0.01,8.99999999999999,0.01,1.5,0.01,0.382048754586631,0.377068340852526,0.355254961399747,0.385627943161095
"99",0.05282,0.01395,0.818181818181818,0.01946,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.393947714033744,0.379011832114383,0.364533078860222,0.362507374991652
"100",0.10278,0.01946,1.5,0.02714,0.818181818181818,0.01,3,0.01,8.99999999999999,0.01,2.29628515263638,2.33625462009979,2.14036827490819,2.22709195235563
